"","Japanese_Name","Pokedex_Number","Classfication","Generation","Region","Is_Legendary","Type_1","Type_2","Abiity_1","Abiity_2","Abiity_3","Abiity_4","Abiity_5","Abiity_6","Against_Bug","Against_Dark","Against_Dragon","Against_Electric","Against_Fairy","Against_Fight","Against_Fire","Against_Flying","Against_Ghost","Against_Grass","Against_Ground","Against_Ice","Against_Normal","Against_Poison","Against_Psychic","Against_Rock","Against_Steel","Against_Water","Hp","Height_m","Weight_Kg","Attack","Defense","Sp_Attack","Sp_Defense","Speed","Region.1","Base_Egg_Steps","Experience_Growth","Base_Happiness","Base_Total","Capture_Rate"
"Golett","Gobit<U+30B4><U+30D3><U+30C3><U+30C8>",622,"Automaton Pokémon","V","Unova",0,"Ground","Ghost","Iron Fist"," Klutz"," No Guard",NA,NA,NA,0.5,2,1,0,1,0,1,1,2,2,1,2,0,0.25,1,0.5,1,2,59,1,92,74,50,35,50,35,"Unova",6400,1000000,70,303,"190"
"Golurk","Goloog<U+30B4><U+30EB><U+30FC><U+30B0>",623,"Automaton Pokémon","V","Unova",0,"Ground","Ghost","Iron Fist"," Klutz"," No Guard",NA,NA,NA,0.5,2,1,0,1,0,1,1,2,2,1,2,0,0.25,1,0.5,1,2,89,2.8,330,124,80,55,80,55,"Unova",6400,1000000,70,483,"90"
"Pawniard","Komatana<U+30B3><U+30DE><U+30BF><U+30CA>",624,"Sharp Blade Pokémon","V","Unova",0,"Dark","Steel","Defiant"," Inner Focus"," Pressure",NA,NA,NA,1,0.5,0.5,1,1,4,2,0.5,0.5,0.5,2,0.5,0.5,0,0,0.5,0.5,1,45,0.5,10.2,85,70,40,40,60,"Unova",5120,1000000,35,340,"120"
"Bisharp","Kirikizan<U+30AD><U+30EA><U+30AD><U+30B6><U+30F3>",625,"Sword Blade Pokémon","V","Unova",0,"Dark","Steel","Defiant"," Inner Focus"," Pressure",NA,NA,NA,1,0.5,0.5,1,1,4,2,0.5,0.5,0.5,2,0.5,0.5,0,0,0.5,0.5,1,65,1.6,70,125,100,60,70,70,"Unova",5120,1000000,35,490,"45"
"Bouffalant","Buffron<U+30D0><U+30C3><U+30D5><U+30ED><U+30F3>",626,"Bash Buffalo Pokémon","V","Unova",0,"Normal","None","Reckless"," Sap Sipper"," Soundproof",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,95,1.6,94.6,110,95,40,95,55,"Unova",5120,1000000,70,490,"45"
"Rufflet","Washibon<U+30EF><U+30B7><U+30DC><U+30F3>",627,"Eaglet Pokémon","V","Unova",0,"Normal","Flying","Keen Eye"," Sheer Force"," Hustle",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,70,0.5,10.5,83,50,37,50,60,"Unova",5120,1250000,70,350,"190"
"Braviary","Warrgle<U+30A6><U+30A9><U+30FC><U+30B0><U+30EB>",628,"Valiant Pokémon","V","Unova",0,"Normal","Flying","Keen Eye"," Sheer Force"," Defiant",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,100,1.5,41,123,75,57,75,80,"Unova",5120,1250000,70,510,"60"
"Vullaby","Valchai<U+30D0><U+30EB><U+30C1><U+30E3><U+30A4>",629,"Diapered Pokémon","V","Unova",0,"Dark","Flying","Big Pecks"," Overcoat"," Weak Armor",NA,NA,NA,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,70,0.5,9,55,75,45,65,60,"Unova",5120,1250000,35,370,"190"
"Mandibuzz","Vulgina<U+30D0><U+30EB><U+30B8><U+30FC><U+30CA>",630,"Bone Vulture Pokémon","V","Unova",0,"Dark","Flying","Big Pecks"," Overcoat"," Weak Armor",NA,NA,NA,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,110,1.2,39.5,65,105,55,95,80,"Unova",5120,1250000,35,510,"60"
"Heatmor","Kuitaran<U+30AF><U+30A4><U+30BF><U+30E9><U+30F3>",631,"Anteater Pokémon","V","Unova",0,"Fire","None","Gluttony"," Flash Fire"," White Smoke",NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,85,1.4,58,97,66,105,66,65,"Unova",5120,1000000,70,484,"90"
"Durant","Aiant<U+30A2><U+30A4><U+30A2><U+30F3><U+30C8>",632,"Iron Ant Pokémon","V","Unova",0,"Bug","Steel","Swarm"," Hustle"," Truant",NA,NA,NA,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,58,0.3,33,109,112,48,48,109,"Unova",5120,1000000,70,484,"90"
"Deino","Monozu<U+30E2><U+30CE><U+30BA>",633,"Irate Pokémon","V","Unova",0,"Dark","Dragon","Hustle",NA,NA,NA,NA,NA,2,0.5,2,0.5,4,2,0.5,1,0.5,0.5,1,2,1,1,0,1,1,0.5,52,0.8,17.3,65,50,45,50,38,"Unova",10240,1250000,35,300,"45"
"Zweilous","Dihead<U+30B8><U+30D8><U+30C3><U+30C9>",634,"Hostile Pokémon","V","Unova",0,"Dark","Dragon","Hustle",NA,NA,NA,NA,NA,2,0.5,2,0.5,4,2,0.5,1,0.5,0.5,1,2,1,1,0,1,1,0.5,72,1.4,50,85,70,65,70,58,"Unova",10240,1250000,35,420,"45"
"Hydreigon","Sazandora<U+30B5><U+30B6><U+30F3><U+30C9><U+30E9>",635,"Brutal Pokémon","V","Unova",0,"Dark","Dragon","Levitate",NA,NA,NA,NA,NA,2,0.5,2,0.5,4,2,0.5,1,0.5,0.5,1,2,1,1,0,1,1,0.5,92,1.8,160,105,90,125,90,98,"Unova",10240,1250000,35,600,"45"
"Larvesta","Merlarva<U+30E1><U+30E9><U+30EB><U+30D0>",636,"Torch Pokémon","V","Unova",0,"Bug","Fire","Flame Body"," Swarm",NA,NA,NA,NA,0.5,1,1,1,0.5,0.5,1,2,1,0.25,1,0.5,1,1,1,4,0.5,2,55,1.1,28.8,85,55,50,55,60,"Unova",10240,1250000,70,360,"45"
"Volcarona","Ulgamoth<U+30A6><U+30EB><U+30AC><U+30E2><U+30B9>",637,"Sun Pokémon","V","Unova",0,"Bug","Fire","Flame Body"," Swarm",NA,NA,NA,NA,0.5,1,1,1,0.5,0.5,1,2,1,0.25,1,0.5,1,1,1,4,0.5,2,85,1.6,46,60,65,135,105,100,"Unova",10240,1250000,70,550,"15"
"Cobalion","Cobalon<U+30B3><U+30D0><U+30EB><U+30AA><U+30F3>",638,"Iron Will Pokémon","V","Unova",1,"Steel","Fighting","Justified",NA,NA,NA,NA,NA,0.25,0.5,0.5,1,1,2,2,1,1,0.5,2,0.5,0.5,0,1,0.25,0.5,1,91,2.1,250,90,129,90,72,108,"Unova",20480,1250000,35,580,"3"
"Terrakion","Terrakion<U+30C6><U+30E9><U+30AD><U+30AA><U+30F3>",639,"Cavern Pokémon","V","Unova",1,"Rock","Fighting","Justified",NA,NA,NA,NA,NA,0.5,0.5,1,1,2,2,0.5,1,1,2,2,1,0.5,0.5,2,0.5,2,2,91,1.9,260,129,90,72,90,108,"Unova",20480,1250000,35,580,"3"
"Virizion","Virizion<U+30D3><U+30EA><U+30B8><U+30AA><U+30F3>",640,"Grassland Pokémon","V","Unova",1,"Grass","Fighting","Justified",NA,NA,NA,NA,NA,1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5,91,2,200,90,72,90,129,108,"Unova",20480,1250000,35,580,"3"
"Tornadus","Tornelos (keshin Forme)<U+30C8><U+30EB><U+30CD><U+30ED><U+30B9>",641,"Cyclone Pokémon","V","Unova",1,"Flying","None","Prankster"," Defiant"," Regenerator",NA,NA,NA,0.5,1,1,2,1,0.5,1,1,1,0.5,0,2,1,1,1,2,1,1,79,1.5,63,100,80,110,90,121,"Unova",30720,1250000,90,580,"3"
"Thundurus","Voltolos (keshin Forme)<U+30DC><U+30EB><U+30C8><U+30ED><U+30B9>",642,"Bolt Strike Pokémon","V","Unova",1,"Electric","Flying","Prankster"," Defiant"," Volt Absorb",NA,NA,NA,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,79,1.5,61,105,70,145,80,101,"Unova",30720,1250000,90,580,"3"
"Reshiram","Reshiram<U+30EC><U+30B7><U+30E9><U+30E0>",643,"Vast White Pokémon","V","Unova",1,"Dragon","Fire","Turboblaze",NA,NA,NA,NA,NA,0.5,1,2,0.5,1,1,0.25,1,1,0.25,2,1,1,1,1,2,0.5,1,100,3.2,330,120,100,150,120,90,"Unova",30720,1250000,0,680,"3"
"Zekrom","Zekrom<U+30BC><U+30AF><U+30ED><U+30E0>",644,"Deep Black Pokémon","V","Unova",1,"Dragon","Electric","Teravolt",NA,NA,NA,NA,NA,1,1,2,0.25,2,1,0.5,0.5,1,0.5,2,2,1,1,1,1,0.5,0.5,100,2.9,345,150,120,120,100,90,"Unova",30720,1250000,0,680,"3"
"Landorus","Landlos (keshin Forme)<U+30E9><U+30F3><U+30C9><U+30ED><U+30B9>",645,"Abundance Pokémon","V","Unova",1,"Ground","Flying","Sand Force"," Sheer Force"," Intimidate",NA,NA,NA,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,89,1.5,68,145,90,105,80,91,"Unova",30720,1250000,90,600,"3"
"Kyurem","Kyurem<U+30AD><U+30E5><U+30EC><U+30E0>",646,"Boundary Pokémon","V","Unova",1,"Dragon","Ice","Pressure"," Teravolt"," Turboblaze",NA,NA,NA,1,1,2,0.5,2,2,1,1,1,0.5,1,1,1,1,1,2,2,0.5,125,3,325,120,90,170,100,95,"Unova",30720,1250000,0,700,"3"
"Keldeo","Keldeo (itsumo No Sugata)<U+30B1><U+30EB><U+30C7><U+30A3><U+30AA>",647,"Colt Pokémon","V","Unova",1,"Water","Fighting","Justified",NA,NA,NA,NA,NA,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,91,1.4,48.5,72,90,129,90,108,"Unova",20480,1250000,35,580,"3"
"Meloetta","Meloetta (step Forme)<U+30E1><U+30ED><U+30A8><U+30C3><U+30BF>",648,"Melody Pokémon","V","Unova",1,"Normal","Psychic","Serene Grace",NA,NA,NA,NA,NA,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,100,0.6,6.5,128,90,77,77,128,"Unova",30720,1250000,100,600,"3"
"Genesect","Genesect<U+30B2><U+30CE><U+30BB><U+30AF><U+30C8>",649,"Paleozoic Pokémon","V","Unova",1,"Bug","Steel","Download",NA,NA,NA,NA,NA,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,71,1.5,82.5,120,95,120,95,99,"Unova",30720,1250000,0,600,"3"
"Chespin","Harimaron<U+30CF><U+30EA><U+30DE><U+30ED><U+30F3>",650,"Spiky Nut Pokémon","VI","Kalos",0,"Grass","None","Overgrow"," Bulletproof",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,56,0.4,9,61,65,48,45,38,"Kalos",5120,1059860,70,313,"45"
"Quilladin","Hariborg<U+30CF><U+30EA><U+30DC><U+30FC><U+30B0>",651,"Spiny Armor Pokémon","VI","Kalos",0,"Grass","None","Overgrow"," Bulletproof",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,61,0.7,29,78,95,56,58,57,"Kalos",5120,1059860,70,405,"45"
"Chesnaught","Brigarron<U+30D6><U+30EA><U+30AC><U+30ED><U+30F3>",652,"Spiny Armor Pokémon","VI","Kalos",0,"Grass","Fighting","Overgrow"," Bulletproof",NA,NA,NA,NA,1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5,88,1.6,90,107,122,74,75,64,"Kalos",5120,1059860,70,530,"45"
"Fennekin","Fokko<U+30D5><U+30A9><U+30C3><U+30B3>",653,"Fox Pokémon","VI","Kalos",0,"Fire","None","Blaze"," Magician",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,40,0.4,9.4,45,40,62,60,60,"Kalos",5120,1059860,70,307,"45"
"Braixen","Tairenar<U+30C6><U+30FC><U+30EB><U+30CA><U+30FC>",654,"Fox Pokémon","VI","Kalos",0,"Fire","None","Blaze"," Magician",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,59,1,14.5,59,58,90,70,73,"Kalos",5120,1059860,70,409,"45"
"Delphox","Mahoxy<U+30DE><U+30D5><U+30A9><U+30AF><U+30B7><U+30FC>",655,"Fox Pokémon","VI","Kalos",0,"Fire","Psychic","Blaze"," Magician",NA,NA,NA,NA,1,2,1,1,0.5,0.5,0.5,1,2,0.5,2,0.5,1,1,0.5,2,0.5,2,75,1.5,39,69,72,114,100,104,"Kalos",5120,1059860,70,534,"45"
"Froakie","Keromatsu<U+30B1><U+30ED><U+30DE><U+30C4>",656,"Bubble Frog Pokémon","VI","Kalos",0,"Water","None","Torrent"," Protean",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,41,0.3,7,56,40,62,44,71,"Kalos",5120,1059860,70,314,"45"
"Frogadier","Gekogashira<U+30B2><U+30B3><U+30AC><U+30B7><U+30E9>",657,"Bubble Frog Pokémon","VI","Kalos",0,"Water","None","Torrent"," Protean",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,54,0.6,10.9,63,52,83,56,97,"Kalos",5120,1059860,70,405,"45"
"Greninja","Gekkouga<U+30B2><U+30C3><U+30B3><U+30A6><U+30AC>",658,"Ninja Pokémon","VI","Kalos",0,"Water","Dark","Torrent"," Protean"," Battle Bond",NA,NA,NA,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,72,1.5,40,145,67,153,71,132,"Kalos",5120,1059860,70,640,"45"
"Bunnelby","Horubee<U+30DB><U+30EB><U+30D3><U+30FC>",659,"Digging Pokémon","VI","Kalos",0,"Normal","None","Pickup"," Cheek Pouch"," Huge Power",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,38,0.4,5,36,38,32,36,57,"Kalos",3840,1000000,70,237,"255"
"Diggersby","Horudo<U+30DB><U+30EB><U+30FC><U+30C9>",660,"Digging Pokémon","VI","Kalos",0,"Normal","Ground","Pickup"," Cheek Pouch"," Huge Power",NA,NA,NA,1,1,1,0,1,2,1,1,0,2,1,2,1,0.5,1,0.5,1,2,85,1,42.4,56,77,50,77,78,"Kalos",3840,1000000,70,423,"127"
"Fletchling","Yayakoma<U+30E4><U+30E4><U+30B3><U+30DE>",661,"Tiny Robin Pokémon","VI","Kalos",0,"Normal","Flying","Big Pecks"," Gale Wings",NA,NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,0.3,1.7,50,43,40,38,62,"Kalos",3840,1059860,70,278,"255"
"Fletchinder","Hinoyakoma<U+30D2><U+30CE><U+30E4><U+30B3><U+30DE>",662,"Ember Pokémon","VI","Kalos",0,"Fire","Flying","Flame Body"," Gale Wings",NA,NA,NA,NA,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,62,0.7,16,73,55,56,52,84,"Kalos",3840,1059860,70,382,"120"
"Talonflame","Fiarrow<U+30D5><U+30A1><U+30A4><U+30A2><U+30ED><U+30FC>",663,"Scorching Pokémon","VI","Kalos",0,"Fire","Flying","Flame Body"," Gale Wings",NA,NA,NA,NA,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,78,1.2,24.5,81,71,74,69,126,"Kalos",3840,1059860,70,499,"45"
"Scatterbug","Kofukimushi<U+30B3><U+30D5><U+30AD><U+30E0><U+30B7>",664,"Scatterdust Pokémon","VI","Kalos",0,"Bug","None","Shield Dust"," Compoundeyes"," Friend Guard",NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,38,0.3,2.5,35,40,27,25,35,"Kalos",3840,1000000,70,200,"255"
"Spewpa","Kofuurai<U+30B3><U+30D5><U+30FC><U+30E9><U+30A4>",665,"Scatterdust Pokémon","VI","Kalos",0,"Bug","None","Shed Skin"," Friend Guard",NA,NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,45,0.3,8.4,22,60,27,30,29,"Kalos",3840,1000000,70,213,"120"
"Vivillon","Viviyon<U+30D3><U+30D3><U+30E8><U+30F3>",666,"Scale Pokémon","VI","Kalos",0,"Bug","Flying","Shield Dust"," Compoundeyes"," Friend Guard",NA,NA,NA,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,80,1.2,17,52,50,90,50,89,"Kalos",3840,1000000,70,411,"45"
"Litleo","Shishiko<U+30B7><U+30B7><U+30B3>",667,"Lion Cub Pokémon","VI","Kalos",0,"Fire","Normal","Rivalry"," Unnerve"," Moxie",NA,NA,NA,0.5,1,1,1,0.5,2,0.5,1,0,0.5,2,0.5,1,1,1,2,0.5,2,62,0.6,13.5,50,58,73,54,72,"Kalos",5120,1059860,70,369,"220"
"Pyroar","Kaenjishi<U+30AB><U+30A8><U+30F3><U+30B8><U+30B7>",668,"Royal Pokémon","VI","Kalos",0,"Fire","Normal","Rivalry"," Unnerve"," Moxie",NA,NA,NA,0.5,1,1,1,0.5,2,0.5,1,0,0.5,2,0.5,1,1,1,2,0.5,2,86,1.5,81.5,68,72,109,66,106,"Kalos",5120,1059860,70,507,"65"
"Flab<e9>b<e9>","Flabebe<U+30D5><U+30E9><U+30D9><U+30D9>",669,"Single Bloom Pokémon","VI","Kalos",0,"Fairy","None","Flower Veil"," Symbiosis",NA,NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,44,0.1,0.1,38,39,61,79,42,"Kalos",5120,1000000,70,303,"225"
"Floette","Floette<U+30D5><U+30E9><U+30A8><U+30C3><U+30C6>",670,"Fairy Pokémon","VI","Kalos",0,"Fairy","None","Flower Veil"," Symbiosis",NA,NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,74,0.2,0.9,65,67,125,128,92,"Kalos",5120,1000000,70,551,"120"
"Florges","Florges<U+30D5><U+30E9><U+30FC><U+30B8><U+30A7><U+30B9>",671,"Garden Pokémon","VI","Kalos",0,"Fairy","None","Flower Veil"," Symbiosis",NA,NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,78,1.1,10,65,68,112,154,75,"Kalos",5120,1000000,70,552,"45"
"Skiddo","Meecle<U+30E1><U+30A7><U+30FC><U+30AF><U+30EB>",672,"Mount Pokémon","VI","Kalos",0,"Grass","None","Sap Sipper"," Grass Pelt",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,66,0.9,31,65,48,62,57,52,"Kalos",5120,1000000,70,350,"200"
"Gogoat","Gogoat<U+30B4><U+30FC><U+30B4><U+30FC><U+30C8>",673,"Mount Pokémon","VI","Kalos",0,"Grass","None","Sap Sipper"," Grass Pelt",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,123,1.7,91,100,62,97,81,68,"Kalos",5120,1000000,70,531,"45"
"Pancham","Yancham<U+30E4><U+30F3><U+30C1><U+30E3><U+30E0>",674,"Playful Pokémon","VI","Kalos",0,"Fighting","None","Iron Fist"," Mold Breaker"," Scrappy",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,67,0.6,8,82,62,46,48,43,"Kalos",6400,1000000,70,348,"220"
"Pangoro","Goronda<U+30B4><U+30ED><U+30F3><U+30C0>",675,"Daunting Pokémon","VI","Kalos",0,"Fighting","Dark","Iron Fist"," Mold Breaker"," Scrappy",NA,NA,NA,1,0.25,1,1,4,2,1,2,0.5,1,1,1,1,1,0,0.5,1,1,95,2.1,136,124,78,69,71,58,"Kalos",6400,1000000,70,495,"65"
"Furfrou","Trimmien<U+30C8><U+30EA><U+30DF><U+30A2><U+30F3>",676,"Poodle Pokémon","VI","Kalos",0,"Normal","None","Fur Coat",NA,NA,NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,75,1.2,28,80,60,65,90,102,"Kalos",5120,1000000,70,472,"160"
"Espurr","Nyasper<U+30CB><U+30E3><U+30B9><U+30D1><U+30FC>",677,"Restraint Pokémon","VI","Kalos",0,"Psychic","None","Keen Eye"," Infiltrator"," Own Tempo",NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,62,0.3,3.5,48,54,63,60,68,"Kalos",5120,1000000,70,355,"190"
"Meowstic","Nyaonix<U+30CB><U+30E3><U+30AA><U+30CB><U+30AF><U+30B9>",678,"Constraint Pokémon","VI","Kalos",0,"Psychic","None","Keen Eye"," Infiltrator"," Prankster"," Competitive",NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,74,0.6,8.5,48,76,83,81,104,"Kalos",5120,1000000,70,466,"75"
"Honedge","Hitotsuki<U+30D2><U+30C8><U+30C4><U+30AD>",679,"Sword Pokémon","VI","Kalos",0,"Steel","Ghost","No Guard",NA,NA,NA,NA,NA,0.25,2,0.5,1,0.5,0,2,0.5,2,0.5,2,0.5,0,0,0.5,0.5,0.5,1,45,0.8,2,80,100,35,37,28,"Kalos",5120,1000000,70,325,"180"
"Doublade","Nidangill<U+30CB><U+30C0><U+30F3><U+30AE><U+30EB>",680,"Sword Pokémon","VI","Kalos",0,"Steel","Ghost","No Guard",NA,NA,NA,NA,NA,0.25,2,0.5,1,0.5,0,2,0.5,2,0.5,2,0.5,0,0,0.5,0.5,0.5,1,59,0.8,4.5,110,150,45,49,35,"Kalos",5120,1000000,70,448,"90"
"Aegislash","Gillgard<U+30AE><U+30EB><U+30AC><U+30EB><U+30C9>",681,"Royal Sword Pokémon","VI","Kalos",0,"Steel","Ghost","Stance Change",NA,NA,NA,NA,NA,0.25,2,0.5,1,0.5,0,2,0.5,2,0.5,2,0.5,0,0,0.5,0.5,0.5,1,60,1.7,53,150,50,150,50,60,"Kalos",5120,1000000,70,520,"45"
"Spritzee","Shushupu<U+30B7><U+30E5><U+30B7><U+30E5><U+30D7>",682,"Perfume Pokémon","VI","Kalos",0,"Fairy","None","Healer"," Aroma Veil",NA,NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,78,0.2,0.5,52,60,63,65,23,"Kalos",5120,1000000,70,341,"200"
"Aromatisse","Frefuwan<U+30D5><U+30EC><U+30D5><U+30EF><U+30F3>",683,"Fragrance Pokémon","VI","Kalos",0,"Fairy","None","Healer"," Aroma Veil",NA,NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,101,0.8,15.5,72,72,99,89,29,"Kalos",5120,1000000,70,462,"140"
"Swirlix","Peroppafu<U+30DA><U+30ED><U+30C3><U+30D1><U+30D5>",684,"Cotton Candy Pokémon","VI","Kalos",0,"Fairy","None","Sweet Veil"," Unburden",NA,NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,62,0.4,3.5,48,66,59,57,49,"Kalos",5120,1000000,70,341,"200"
"Slurpuff","Peroream<U+30DA><U+30ED><U+30EA><U+30FC><U+30E0>",685,"Meringue Pokémon","VI","Kalos",0,"Fairy","None","Sweet Veil"," Unburden",NA,NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,82,0.8,5,80,86,85,75,72,"Kalos",5120,1000000,70,480,"140"
"Inkay","Maaiika<U+30DE><U+30FC><U+30A4><U+30FC><U+30AB>",686,"Revolving Pokémon","VI","Kalos",0,"Dark","Psychic","Contrary"," Suction Cups"," Infiltrator",NA,NA,NA,4,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,53,0.4,3.5,54,53,37,46,45,"Kalos",5120,1000000,70,288,"190"
"Malamar","Calamanero<U+30AB><U+30E9><U+30DE><U+30CD><U+30ED>",687,"Overturning Pokémon","VI","Kalos",0,"Dark","Psychic","Contrary"," Suction Cups"," Infiltrator",NA,NA,NA,4,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,86,1.5,47,92,88,68,75,73,"Kalos",5120,1000000,70,482,"80"
"Binacle","Kametete<U+30AB><U+30E1><U+30C6><U+30C6>",688,"Two-Handed Pokémon","VI","Kalos",0,"Rock","Water","Tough Claws"," Sniper"," Pickpocket",NA,NA,NA,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,42,0.5,31,52,67,39,56,50,"Kalos",5120,1000000,70,306,"120"
"Barbaracle","Gamenodes<U+30AC><U+30E1><U+30CE><U+30C7><U+30B9>",689,"Collective Pokémon","VI","Kalos",0,"Rock","Water","Tough Claws"," Sniper"," Pickpocket",NA,NA,NA,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,72,1.3,96,105,115,54,86,68,"Kalos",5120,1000000,70,500,"45"
"Skrelp","Kuzumo<U+30AF><U+30BA><U+30E2><U+30FC>",690,"Mock Kelp Pokémon","VI","Kalos",0,"Poison","Water","Poison Point"," Poison Touch"," Adaptability",NA,NA,NA,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,50,0.5,7.3,60,60,60,60,30,"Kalos",5120,1000000,70,320,"225"
"Dragalge","Dramidoro<U+30C9><U+30E9><U+30DF><U+30C9><U+30ED>",691,"Mock Kelp Pokémon","VI","Kalos",0,"Poison","Dragon","Poison Point"," Poison Touch"," Adaptability",NA,NA,NA,0.5,1,2,0.5,1,0.5,0.5,1,1,0.25,2,2,1,0.5,2,1,1,0.5,65,1.8,81.5,75,90,97,123,44,"Kalos",5120,1000000,70,494,"55"
"Clauncher","Udeppou<U+30A6><U+30C7><U+30C3><U+30DD><U+30A6>",692,"Water Gun Pokémon","VI","Kalos",0,"Water","None","Mega Launcher",NA,NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,0.5,8.3,53,62,58,63,44,"Kalos",3840,1250000,70,330,"225"
"Clawitzer","Bloster<U+30D6><U+30ED><U+30B9><U+30BF><U+30FC>",693,"Howitzer Pokémon","VI","Kalos",0,"Water","None","Mega Launcher",NA,NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,71,1.3,35.3,73,88,120,89,59,"Kalos",3840,1250000,70,500,"55"
"Helioptile","Erikiteru<U+30A8><U+30EA><U+30AD><U+30C6><U+30EB>",694,"Generator Pokémon","VI","Kalos",0,"Electric","Normal","Dry Skin"," Sand Veil"," Solar Power",NA,NA,NA,1,1,1,0.5,1,2,1,0.5,0,1,2,1,1,1,1,1,0.5,1,44,0.5,6,38,33,61,43,70,"Kalos",5120,1000000,70,289,"190"
"Heliolisk","Elezard<U+30A8><U+30EC><U+30B6><U+30FC><U+30C9>",695,"Generator Pokémon","VI","Kalos",0,"Electric","Normal","Dry Skin"," Sand Veil"," Solar Power",NA,NA,NA,1,1,1,0.5,1,2,1,0.5,0,1,2,1,1,1,1,1,0.5,1,62,1,21,55,52,109,94,109,"Kalos",5120,1000000,70,481,"75"
