"","Pokedex_Number","Classfication","Generation","Region","Is_Legendary","Type_1","Type_2","Ability_1","Ability_2","Ability_3","Ability_4","Ability_5","Ability_6","Against_Bug","Against_Dark","Against_Dragon","Against_Electric","Against_Fairy","Against_Fight","Against_Fire","Against_Flying","Against_Ghost","Against_Grass","Against_Ground","Against_Ice","Against_Normal","Against_Poison","Against_Psychic","Against_Rock","Against_Steel","Against_Water","Hp","Height_m","Weight_Kg","Attack","Defense","Sp_Attack","Sp_Defense","Speed","Base_Egg_Steps","Experience_Growth","Base_Happiness","Base_Total","Capture_Rate"
"Nincada",290,"Trainee Pokémon","III","Hoenn",0,"Bug","Ground","Compoundeyes"," Run Away",NA,NA,NA,NA,1,1,1,0,1,0.5,2,2,1,1,0.5,2,1,0.5,1,1,1,2,31,0.5,5.5,45,90,30,30,40,3840,600000,70,266,255
"Ninjask",291,"Ninja Pokémon","III","Hoenn",0,"Bug","Flying","Speed Boost"," Infiltrator",NA,NA,NA,NA,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,61,0.8,12,90,45,50,50,160,3840,600000,70,456,120
"Shedinja",292,"Shed Pokémon","III","Hoenn",0,"Bug","Ghost","Wonder Guard",NA,NA,NA,NA,NA,0.5,2,1,1,1,0,2,2,2,0.5,0.5,1,0,0.5,1,2,1,1,1,0.8,1.2,90,45,30,30,40,3840,600000,70,236,45
"Whismur",293,"Whisper Pokémon","III","Hoenn",0,"Normal","None","Soundproof"," Rattled",NA,NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,64,0.6,16.3,51,23,51,23,28,5120,1059860,70,240,190
"Loudred",294,"Big Voice Pokémon","III","Hoenn",0,"Normal","None","Soundproof"," Scrappy",NA,NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,84,1,40.5,71,43,71,43,48,5120,1059860,70,360,120
"Exploud",295,"Loud Noise Pokémon","III","Hoenn",0,"Normal","None","Soundproof"," Scrappy",NA,NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,104,1.5,84,91,63,91,73,68,5120,1059860,70,490,45
"Makuhita",296,"Guts Pokémon","III","Hoenn",0,"Fighting","None","Thick Fat"," Guts"," Sheer Force",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,72,1,86.4,60,30,20,30,25,5120,1640000,70,237,180
"Hariyama",297,"Arm Thrust Pokémon","III","Hoenn",0,"Fighting","None","Thick Fat"," Guts"," Sheer Force",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,144,2.3,253.8,120,60,40,60,50,5120,1640000,70,474,200
"Azurill",298,"Polka Dot Pokémon","III","Hoenn",0,"Normal","Fairy","Thick Fat"," Huge Power"," Sap Sipper",NA,NA,NA,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,50,0.2,2,20,40,20,40,20,2560,800000,70,190,150
"Nosepass",299,"Compass Pokémon","III","Hoenn",0,"Rock","None","Sturdy"," Magnet Pull"," Sand Force",NA,NA,NA,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,30,1,97,45,135,45,90,30,5120,1000000,70,375,255
"Skitty",300,"Kitten Pokémon","III","Hoenn",0,"Normal","None","Cute Charm"," Normalize"," Wonder Skin ",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,0.6,11,45,45,35,35,50,3840,800000,70,260,255
"Delcatty",301,"Prim Pokémon","III","Hoenn",0,"Normal","None","Cute Charm"," Normalize"," Wonder Skin ",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,1.1,32.6,65,65,55,55,90,3840,800000,70,400,60
"Sableye",302,"Darkness Pokémon","III","Hoenn",0,"Dark","Ghost","Keen Eye"," Stall"," Prankster",NA,NA,NA,1,1,1,1,2,0,1,1,1,1,1,1,0,0.5,0,1,1,1,50,0.5,11,85,125,85,115,20,6400,1059860,35,480,45
"Mawile",303,"Deceiver Pokémon","III","Hoenn",0,"Steel","Fairy","Hyper Cutter"," Intimidate"," Sheer Force",NA,NA,NA,0.25,0.5,0,1,0.5,1,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,1,1,50,0.6,11.5,105,125,55,95,50,5120,800000,70,480,45
"Aron",304,"Iron Armor Pokémon","III","Hoenn",0,"Steel","Rock","Sturdy"," Rock Head"," Heavy Metal",NA,NA,NA,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,50,0.4,60,70,100,40,40,30,8960,1250000,35,330,180
"Lairon",305,"Iron Armor Pokémon","III","Hoenn",0,"Steel","Rock","Sturdy"," Rock Head"," Heavy Metal",NA,NA,NA,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,60,0.9,120,90,140,50,50,40,8960,1250000,35,430,90
"Aggron",306,"Iron Armor Pokémon","III","Hoenn",0,"Steel","Rock","Sturdy"," Rock Head"," Heavy Metal",NA,NA,NA,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,70,2.1,360,140,230,60,80,50,8960,1250000,35,630,45
"Meditite",307,"Meditate Pokémon","III","Hoenn",0,"Fighting","Psychic","Pure Power"," Telepathy",NA,NA,NA,NA,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,30,0.6,11.2,40,55,40,55,60,5120,1000000,70,280,180
"Medicham",308,"Meditate Pokémon","III","Hoenn",0,"Fighting","Psychic","Pure Power"," Telepathy",NA,NA,NA,NA,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,60,1.3,31.5,100,85,80,85,100,5120,1000000,70,510,90
"Electrike",309,"Lightning Pokémon","III","Hoenn",0,"Electric","None","Static"," Lightningrod"," Minus",NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,0.6,15.2,45,40,65,40,65,5120,1250000,70,295,120
"Manectric",310,"Discharge Pokémon","III","Hoenn",0,"Electric","None","Static"," Lightningrod"," Minus",NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,70,1.5,40.2,75,80,135,80,135,5120,1250000,70,575,45
"Plusle",311,"Cheering Pokémon","III","Hoenn",0,"Electric","None","Plus"," Lightningrod",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,60,0.4,4.2,50,40,85,75,95,5120,1000000,70,405,200
"Minun",312,"Cheering Pokémon","III","Hoenn",0,"Electric","None","Minus"," Volt Absorb",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,60,0.4,4.2,40,50,75,85,95,5120,1000000,70,405,200
"Volbeat",313,"Firefly Pokémon","III","Hoenn",0,"Bug","None","Illuminate"," Swarm"," Prankster",NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,65,0.7,17.7,73,75,47,85,85,3840,600000,70,430,150
"Illumise",314,"Firefly Pokémon","III","Hoenn",0,"Bug","None","Oblivious"," Tinted Lens"," Prankster",NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,65,0.6,17.7,47,75,73,85,85,3840,1640000,70,430,150
"Roselia",315,"Thorn Pokémon","III","Hoenn",0,"Grass","Poison","Natural Cure"," Poison Point"," Leaf Guard",NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,0.3,2,60,45,100,80,65,5120,1059860,70,400,150
"Gulpin",316,"Stomach Pokémon","III","Hoenn",0,"Poison","None","Liquid Ooze"," Sticky Hold"," Gluttony",NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,70,0.4,10.3,43,53,43,53,40,5120,1640000,70,302,225
"Swalot",317,"Poison Bag Pokémon","III","Hoenn",0,"Poison","None","Liquid Ooze"," Sticky Hold"," Gluttony",NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,100,1.7,80,73,83,73,83,55,5120,1640000,70,467,75
"Carvanha",318,"Savage Pokémon","III","Hoenn",0,"Water","Dark","Rough Skin"," Speed Boost",NA,NA,NA,NA,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,45,0.8,20.8,90,20,65,20,65,5120,1250000,35,305,225
"Sharpedo",319,"Brutal Pokémon","III","Hoenn",0,"Water","Dark","Rough Skin"," Speed Boost",NA,NA,NA,NA,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,70,1.8,88.8,140,70,110,65,105,5120,1250000,35,560,60
"Wailmer",320,"Ball Whale Pokémon","III","Hoenn",0,"Water","None","Water Veil"," Oblivious"," Pressure",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,130,2,130,70,35,70,35,60,10240,1640000,70,400,125
"Wailord",321,"Float Whale Pokémon","III","Hoenn",0,"Water","None","Water Veil"," Oblivious"," Pressure",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,170,14.5,398,90,45,90,45,60,10240,1640000,70,500,60
"Numel",322,"Numb Pokémon","III","Hoenn",0,"Fire","Ground","Oblivious"," Simple"," Own Tempo",NA,NA,NA,0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4,60,0.7,24,60,40,65,45,35,5120,1000000,70,305,255
"Camerupt",323,"Eruption Pokémon","III","Hoenn",0,"Fire","Ground","Magma Armor"," Solid Rock"," Anger Point",NA,NA,NA,0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4,70,1.9,220,120,100,145,105,20,5120,1000000,70,560,150
"Torkoal",324,"Coal Pokémon","III","Hoenn",0,"Fire","None","White Smoke"," Drought"," Shell Armor",NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,0.5,80.4,85,140,85,70,20,5120,1000000,70,470,90
"Spoink",325,"Bounce Pokémon","III","Hoenn",0,"Psychic","None","Thick Fat"," Own Tempo"," Gluttony",NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,60,0.7,30.6,25,35,70,80,60,5120,800000,70,330,255
"Grumpig",326,"Manipulate Pokémon","III","Hoenn",0,"Psychic","None","Thick Fat"," Own Tempo"," Gluttony",NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,80,0.9,71.5,45,65,90,110,80,5120,800000,70,470,60
"Spinda",327,"Spot Panda Pokémon","III","Hoenn",0,"Normal","None","Own Tempo"," Tangled Feet"," Contrary",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,1.1,5,60,60,60,60,60,3840,800000,70,360,255
"Trapinch",328,"Ant Pit Pokémon","III","Hoenn",0,"Ground","None","Hyper Cutter"," Arena Trap"," Sheer Force",NA,NA,NA,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,45,0.7,15,100,45,45,45,10,5120,1059860,70,290,255
"Vibrava",329,"Vibration Pokémon","III","Hoenn",0,"Ground","Dragon","Levitate",NA,NA,NA,NA,NA,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,50,1.1,15.3,70,50,50,50,70,5120,1059860,70,340,120
"Flygon",330,"Mystic Pokémon","III","Hoenn",0,"Ground","Dragon","Levitate",NA,NA,NA,NA,NA,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,80,2,82,100,80,80,80,100,5120,1059860,70,520,45
"Cacnea",331,"Cactus Pokémon","III","Hoenn",0,"Grass","None","Sand Veil"," Water Absorb",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,0.4,51.3,85,40,85,40,35,5120,1059860,35,335,190
"Cacturne",332,"Scarecrow Pokémon","III","Hoenn",0,"Grass","Dark","Sand Veil"," Water Absorb",NA,NA,NA,NA,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,70,1.3,77.4,115,60,115,60,55,5120,1059860,35,475,60
"Swablu",333,"Cotton Bird Pokémon","III","Hoenn",0,"Normal","Flying","Natural Cure"," Cloud Nine",NA,NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,0.4,1.2,40,60,40,75,50,5120,600000,70,310,255
"Altaria",334,"Humming Pokémon","III","Hoenn",0,"Dragon","Flying","Natural Cure"," Cloud Nine",NA,NA,NA,NA,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,75,1.1,20.6,110,110,110,105,80,5120,600000,70,590,45
"Zangoose",335,"Cat Ferret Pokémon","III","Hoenn",0,"Normal","None","Immunity"," Toxic Boost",NA,NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,73,1.3,40.3,115,60,60,60,90,5120,600000,70,458,90
"Seviper",336,"Fang Snake Pokémon","III","Hoenn",0,"Poison","None","Shed Skin"," Infiltrator",NA,NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,73,2.7,52.5,100,60,100,60,65,5120,1640000,70,458,90
"Lunatone",337,"Meteorite Pokémon","III","Hoenn",0,"Rock","Psychic","Levitate",NA,NA,NA,NA,NA,2,2,1,1,1,1,0.5,0.5,2,2,2,1,0.5,0.5,0.5,1,2,2,90,1,168,55,65,95,85,70,6400,800000,70,460,45
"Solrock",338,"Meteorite Pokémon","III","Hoenn",0,"Rock","Psychic","Levitate",NA,NA,NA,NA,NA,2,2,1,1,1,1,0.5,0.5,2,2,2,1,0.5,0.5,0.5,1,2,2,90,1.2,154,95,85,55,65,70,6400,800000,70,460,45
"Barboach",339,"Whiskers Pokémon","III","Hoenn",0,"Water","Ground","Oblivious"," Anticipation"," Hydration",NA,NA,NA,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,50,0.4,1.9,48,43,46,41,60,5120,1000000,70,288,190
"Whiscash",340,"Whiskers Pokémon","III","Hoenn",0,"Water","Ground","Oblivious"," Anticipation"," Hydration",NA,NA,NA,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,110,0.9,23.6,78,73,76,71,60,5120,1000000,70,468,75
"Corphish",341,"Ruffian Pokémon","III","Hoenn",0,"Water","None","Hyper Cutter"," Shell Armor"," Adaptability",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,43,0.6,11.5,80,65,50,35,35,3840,1640000,70,308,205
"Crawdaunt",342,"Rogue Pokémon","III","Hoenn",0,"Water","Dark","Hyper Cutter"," Shell Armor"," Adaptability",NA,NA,NA,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,63,1.1,32.8,120,85,90,55,55,3840,1640000,70,468,155
"Baltoy",343,"Clay Doll Pokémon","III","Hoenn",0,"Ground","Psychic","Levitate",NA,NA,NA,NA,NA,2,2,1,0,1,0.5,1,1,2,2,1,2,1,0.5,0.5,0.5,1,2,40,0.5,21.5,40,55,40,70,55,5120,1000000,70,300,255
"Claydol",344,"Clay Doll Pokémon","III","Hoenn",0,"Ground","Psychic","Levitate",NA,NA,NA,NA,NA,2,2,1,0,1,0.5,1,1,2,2,1,2,1,0.5,0.5,0.5,1,2,60,1.5,108,70,105,70,120,75,5120,1000000,70,500,90
"Lileep",345,"Sea Lily Pokémon","III","Hoenn",0,"Rock","Grass","Suction Cups"," Storm Drain",NA,NA,NA,NA,2,1,1,0.5,1,2,1,1,1,1,1,2,0.5,1,1,1,2,1,66,1,23.8,41,77,61,87,23,7680,600000,70,355,45
"Cradily",346,"Barnacle Pokémon","III","Hoenn",0,"Rock","Grass","Suction Cups"," Storm Drain",NA,NA,NA,NA,2,1,1,0.5,1,2,1,1,1,1,1,2,0.5,1,1,1,2,1,86,1.5,60.4,81,97,81,107,43,7680,600000,70,495,45
"Anorith",347,"Old Shrimp Pokémon","III","Hoenn",0,"Rock","Bug","Battle Armor"," Swift Swim",NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,45,0.7,12.5,95,50,40,50,75,7680,600000,70,355,45
"Armaldo",348,"Plate Pokémon","III","Hoenn",0,"Rock","Bug","Battle Armor"," Swift Swim",NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,75,1.5,68.2,125,100,70,80,45,7680,600000,70,495,45
"Feebas",349,"Fish Pokémon","III","Hoenn",0,"Water","None","Swift Swim"," Oblivious"," Adaptability",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,20,0.6,7.4,15,20,10,55,80,5120,600000,70,200,255
"Milotic",350,"Tender Pokémon","III","Hoenn",0,"Water","None","Marvel Scale"," Competitive"," Cute Charm",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,95,6.2,162,60,79,100,125,81,5120,600000,70,540,60
"Castform",351,"Weather Pokémon","III","Hoenn",0,"Normal","None","Forecast",NA,NA,NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,0.3,0.8,70,70,70,70,70,6400,1000000,70,420,45
"Kecleon",352,"Color Swap Pokémon","III","Hoenn",0,"Normal","None","Color Change"," Protean",NA,NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,1,22,90,70,60,120,40,5120,1059860,70,440,200
"Shuppet",353,"Puppet Pokémon","III","Hoenn",0,"Ghost","None","Insomnia"," Frisk"," Cursed Body",NA,NA,NA,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,44,0.6,2.3,75,35,63,33,45,6400,800000,35,295,225
"Banette",354,"Marionette Pokémon","III","Hoenn",0,"Ghost","None","Insomnia"," Frisk"," Cursed Body",NA,NA,NA,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,64,1.1,12.5,165,75,93,83,75,6400,800000,35,555,45
"Duskull",355,"Requiem Pokémon","III","Hoenn",0,"Ghost","None","Levitate"," Frisk",NA,NA,NA,NA,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,20,0.8,15,40,90,30,90,25,6400,800000,35,295,190
"Dusclops",356,"Beckon Pokémon","III","Hoenn",0,"Ghost","None","Pressure"," Frisk",NA,NA,NA,NA,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,40,1.6,30.6,70,130,60,130,25,6400,800000,35,455,90
"Tropius",357,"Fruit Pokémon","III","Hoenn",0,"Grass","Flying","Chlorophyll"," Solar Power"," Harvest",NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,99,2,100,68,83,72,87,51,6400,1250000,70,460,200
"Chimecho",358,"Wind Chime Pokémon","III","Hoenn",0,"Psychic","None","Levitate",NA,NA,NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,75,0.6,1,50,80,95,90,65,6400,800000,70,455,45
"Absol",359,"Disaster Pokémon","III","Hoenn",0,"Dark","None","Pressure"," Super Luck"," Justified",NA,NA,NA,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,65,1.2,47,150,60,115,60,115,6400,1059860,35,565,30
"Wynaut",360,"Bright Pokémon","III","Hoenn",0,"Psychic","None","Shadow Tag"," Telepathy",NA,NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,95,0.6,14,23,48,23,48,23,5120,1000000,70,260,125
"Snorunt",361,"Snow Hat Pokémon","III","Hoenn",0,"Ice","None","Inner Focus"," Ice Body"," Moody",NA,NA,NA,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,50,0.7,16.8,50,50,50,50,50,5120,1000000,70,300,190
"Glalie",362,"Face Pokémon","III","Hoenn",0,"Ice","None","Inner Focus"," Ice Body"," Moody",NA,NA,NA,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,80,1.5,256.5,120,80,120,80,100,5120,1000000,70,580,75
"Spheal",363,"Clap Pokémon","III","Hoenn",0,"Ice","Water","Thick Fat"," Ice Body"," Oblivious",NA,NA,NA,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,70,0.8,39.5,40,50,55,50,25,5120,1059860,70,290,255
"Sealeo",364,"Ball Roll Pokémon","III","Hoenn",0,"Ice","Water","Thick Fat"," Ice Body"," Oblivious",NA,NA,NA,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,90,1.1,87.6,60,70,75,70,45,5120,1059860,70,410,120
"Walrein",365,"Ice Break Pokémon","III","Hoenn",0,"Ice","Water","Thick Fat"," Ice Body"," Oblivious",NA,NA,NA,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,110,1.4,150.6,80,90,95,90,65,5120,1059860,70,530,45
"Clamperl",366,"Bivalve Pokémon","III","Hoenn",0,"Water","None","Shell Armor"," Rattled",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,35,0.4,52.5,64,85,74,55,32,5120,600000,70,345,255
"Huntail",367,"Deep Sea Pokémon","III","Hoenn",0,"Water","None","Swift Swim"," Water Veil",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,55,1.7,27,104,105,94,75,52,5120,600000,70,485,60
"Gorebyss",368,"South Sea Pokémon","III","Hoenn",0,"Water","None","Swift Swim"," Hydration",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,55,1.8,22.6,84,105,114,75,52,5120,600000,70,485,60
"Relicanth",369,"Longevity Pokémon","III","Hoenn",0,"Water","Rock","Swift Swim"," Rock Head"," Sturdy",NA,NA,NA,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,100,1,23.4,90,130,45,65,55,10240,1250000,70,485,25
"Luvdisc",370,"Rendezvous Pokémon","III","Hoenn",0,"Water","None","Swift Swim"," Hydration",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,43,0.6,8.7,30,55,40,65,97,5120,800000,70,330,225
"Bagon",371,"Rock Head Pokémon","III","Hoenn",0,"Dragon","None","Rock Head"," Sheer Force",NA,NA,NA,NA,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,45,0.6,42.1,75,60,40,30,50,10240,1250000,35,300,45
"Shelgon",372,"Endurance Pokémon","III","Hoenn",0,"Dragon","None","Rock Head"," Overcoat",NA,NA,NA,NA,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,65,1.1,110.5,95,100,60,50,50,10240,1250000,35,420,45
"Salamence",373,"Dragon Pokémon","III","Hoenn",0,"Dragon","Flying","Intimidate"," Moxie",NA,NA,NA,NA,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,95,1.5,102.6,145,130,120,90,120,10240,1250000,35,700,45
"Beldum",374,"Iron Ball Pokémon","III","Hoenn",0,"Steel","Psychic","Clear Body"," Light Metal",NA,NA,NA,NA,1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1,40,0.6,95.2,55,80,35,60,30,10240,1250000,35,300,3
"Metang",375,"Iron Claw Pokémon","III","Hoenn",0,"Steel","Psychic","Clear Body"," Light Metal",NA,NA,NA,NA,1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1,60,1.2,202.5,75,100,55,80,50,10240,1250000,35,420,3
"Metagross",376,"Iron Leg Pokémon","III","Hoenn",0,"Steel","Psychic","Clear Body"," Light Metal",NA,NA,NA,NA,1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1,80,1.6,550,145,150,105,110,110,10240,1250000,35,700,3
"Regirock",377,"Rock Peak Pokémon","III","Hoenn",1,"Rock","None","Clear Body"," Sturdy",NA,NA,NA,NA,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,80,1.7,230,100,200,50,100,50,20480,1250000,35,580,3
"Regice",378,"Iceberg Pokémon","III","Hoenn",1,"Ice","None","Clear Body"," Ice Body",NA,NA,NA,NA,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,80,1.8,175,50,100,100,200,50,20480,1250000,35,580,3
"Registeel",379,"Iron Pokémon","III","Hoenn",1,"Steel","None","Clear Body"," Light Metal",NA,NA,NA,NA,0.5,1,0.5,1,0.5,2,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,0.5,1,80,1.9,205,75,150,75,150,50,20480,1250000,35,580,3
"Latias",380,"Eon Pokémon","III","Hoenn",1,"Dragon","Psychic","Levitate",NA,NA,NA,NA,NA,2,2,2,0.5,2,0.5,0.5,1,2,0.5,1,2,1,1,0.5,1,1,0.5,80,1.4,40,100,120,140,150,110,30720,1250000,90,700,3
"Latios",381,"Eon Pokémon","III","Hoenn",1,"Dragon","Psychic","Levitate",NA,NA,NA,NA,NA,2,2,2,0.5,2,0.5,0.5,1,2,0.5,1,2,1,1,0.5,1,1,0.5,80,2,60,130,100,160,120,110,30720,1250000,90,700,3
"Kyogre",382,"Sea Basin Pokémon","III","Hoenn",1,"Water","None","Drizzle",NA,NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,100,4.5,352,150,90,180,160,90,30720,1250000,0,770,3
"Groudon",383,"Continent Pokémon","III","Hoenn",1,"Ground","None","Drought",NA,NA,NA,NA,NA,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,3.5,950,180,160,150,90,90,30720,1250000,0,770,3
"Rayquaza",384,"Sky High Pokémon","III","Hoenn",1,"Dragon","Flying","Air Lock",NA,NA,NA,NA,NA,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,105,7,206.5,180,100,180,100,115,30720,1250000,0,780,45
"Jirachi",385,"Wish Pokémon","III","Hoenn",1,"Steel","Psychic","Serene Grace",NA,NA,NA,NA,NA,1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1,100,0.3,1.1,100,100,100,100,100,30720,1250000,100,600,3
"Deoxys",386,"DNA Pokémon","III","Hoenn",1,"Psychic","None","Pressure",NA,NA,NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,1.7,60.8,95,90,95,90,180,30720,1250000,0,600,3
"Turtwig",387,"Tiny Leaf Pokémon","IV","Sinnoh",0,"Grass","None","Overgrow"," Shell Armor",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,55,0.4,10.2,68,64,45,55,31,5120,1059860,70,318,45
